playerID,award,year,award_value
thompti01w,All-Star Game Most Valuable Player,1,2
leslili01w,All-Star Game Most Valuable Player,2,2
leslili01w,All-Star Game Most Valuable Player,3,2
teaslni01w,All-Star Game Most Valuable Player,4,2
swoopsh01w,All-Star Game Most Valuable Player,6,2
douglka01w,All-Star Game Most Valuable Player,7,2
fordch01w,All-Star Game Most Valuable Player,8,2
cashsw01w,All-Star Game Most Valuable Player,10,2
coopemi01w,Coach of the Year,1,1
hugheda99w,Coach of the Year,2,1
stanlma99w,Coach of the Year,3,1
laimbbi01w,Coach of the Year,4,1
mcconsu01w,Coach of the Year,5,1
whisejo99w,Coach of the Year,6,1
thibami99w,Coach of the Year,7,1
hugheda99w,Coach of the Year,8,1
thibami99w,Coach of the Year,9,1
meadoma99w,Coach of the Year,10,1
swoopsh01w,Defensive Player of the Year,1,1
blackde01w,Defensive Player of the Year,2,1
swoopsh01w,Defensive Player of the Year,3,1
swoopsh01w,Defensive Player of the Year,4,1
leslili01w,Defensive Player of the Year,5,1
catchta01w,Defensive Player of the Year,6,1
catchta01w,Defensive Player of the Year,7,1
jacksla01w,Defensive Player of the Year,8,1
leslili01w,Defensive Player of the Year,9,1
catchta01w,Defensive Player of the Year,10,1
lawsoka01w,Kim Perrot Sportsmanship,10,0
mcconsu01w,Kim Perrot Sportsmanship Award,1,0
wickssu01w,Kim Perrot Sportsmanship Award,2,0
gilloje01w,Kim Perrot Sportsmanship Award,3,0
campbed01w,Kim Perrot Sportsmanship Award,4,0
edwarte01w,Kim Perrot Sportsmanship Award,5,0
mcwilta01w,Kim Perrot Sportsmanship Award,6,0
staleda01w,Kim Perrot Sportsmanship Award,7,0
beviltu01w,Kim Perrot Sportsmanship Award,8,0
johnsvi01w,Kim Perrot Sportsmanship Award,9,0
phillta01w,Most Improved Player,1,1
arcaija01w,Most Improved Player,2,1
milleco01w,Most Improved Player,3,1
snowmi01w,Most Improved Player,4,1
milleke01w,Most Improved Player,5,1
palmewe01w,Most Improved Player,5,1
mccarja01w,Most Improved Player,8,1
hoffmeb01w,Most Improved Player,9,1
langhcr01w,Most Improved Player,10,1
swoopsh01w,Most Valuable Player,1,2
leslili01w,Most Valuable Player,2,2
swoopsh01w,Most Valuable Player,3,2
jacksla01w,Most Valuable Player,4,2
leslili01w,Most Valuable Player,5,2
swoopsh01w,Most Valuable Player,6,2
leslili01w,Most Valuable Player,7,2
jacksla01w,Most Valuable Player,8,2
parkeca01w,Most Valuable Player,9,2
tauradi01w,Most Valuable Player,10,2
lennobe01w,Rookie of the Year,1,1
stileja01w,Rookie of the Year,2,1
catchta01w,Rookie of the Year,3,1
fordch01w,Rookie of the Year,4,1
tauradi01w,Rookie of the Year,5,1
johnste01w,Rookie of the Year,6,1
augusse01w,Rookie of the Year,7,1
pricear01w,Rookie of the Year,8,1
parkeca01w,Rookie of the Year,9,1
mccouan01w,Rookie of the Year,10,1
pierspl01w,Sixth Woman of the Year,8,1
wiggica01w,Sixth Woman of the Year,9,1
bonnede01w,Sixth Woman of the Year,10,1
coopecy01w,WNBA Finals Most Valuable Player,1,2
leslili01w,WNBA Finals Most Valuable Player,2,2
leslili01w,WNBA Finals Most Valuable Player,3,2
rileyru01w,WNBA Finals Most Valuable Player,4,2
lennobe01w,WNBA Finals Most Valuable Player,5,2
griffyo01w,WNBA Finals Most Valuable Player,6,2
nolande01w,WNBA Finals Most Valuable Player,7,2
pondeca01w,WNBA Finals Most Valuable Player,8,2
smithka01w,WNBA Finals Most Valuable Player,9,2
tauradi01w,WNBA Finals Most Valuable Player,10,2
birdsu01w,WNBA All-Decade Team,7,1
catchta01w,WNBA All-Decade Team,7,1
coopecy01w,WNBA All-Decade Team,7,1
griffyo01w,WNBA All-Decade Team,7,1
jacksla01w,WNBA All-Decade Team,7,1
leslili01w,WNBA All-Decade Team,7,1
smithka01w,WNBA All-Decade Team,7,1
staleda01w,WNBA All-Decade Team,7,1
swoopsh01w,WNBA All-Decade Team,7,1
thompti01w,WNBA All-Decade Team,7,1
boltoru01w,WNBA All Decade Team Honorable Mention,7,1
holdsch01w,WNBA All Decade Team Honorable Mention,7,1
penicti01w,WNBA All Decade Team Honorable Mention,7,1
tauradi01w,WNBA All Decade Team Honorable Mention,7,1
weathte01w,WNBA All Decade Team Honorable Mention,7,1
