year,playerID,award_count
1,coopecy01w,1.0
1,coopemi01w,1.0
1,lennobe01w,1.0
1,mcconsu01w,1.0
1,phillta01w,1.0
1,swoopsh01w,2.0
1,thompti01w,1.0
2,arcaija01w,1.0
2,blackde01w,1.0
2,hugheda99w,1.0
2,leslili01w,3.0
2,stileja01w,1.0
2,wickssu01w,1.0
3,catchta01w,1.0
3,gilloje01w,1.0
3,leslili01w,2.0
3,milleco01w,1.0
3,stanlma99w,1.0
3,swoopsh01w,2.0
4,campbed01w,1.0
4,fordch01w,1.0
4,jacksla01w,1.0
4,laimbbi01w,1.0
4,rileyru01w,1.0
4,snowmi01w,1.0
4,swoopsh01w,1.0
4,teaslni01w,1.0
5,edwarte01w,1.0
5,lennobe01w,1.0
5,leslili01w,2.0
5,mcconsu01w,1.0
5,milleke01w,1.0
5,palmewe01w,1.0
5,tauradi01w,1.0
6,catchta01w,1.0
6,griffyo01w,1.0
6,johnste01w,1.0
6,mcwilta01w,1.0
6,swoopsh01w,2.0
6,whisejo99w,1.0
7,augusse01w,1.0
7,birdsu01w,1.0
7,boltoru01w,1.0
7,catchta01w,2.0
7,coopecy01w,1.0
7,douglka01w,1.0
7,griffyo01w,1.0
7,holdsch01w,1.0
7,jacksla01w,1.0
7,leslili01w,2.0
7,nolande01w,1.0
7,penicti01w,1.0
7,smithka01w,1.0
7,staleda01w,2.0
7,swoopsh01w,1.0
7,tauradi01w,1.0
7,thibami99w,1.0
7,thompti01w,1.0
7,weathte01w,1.0
8,beviltu01w,1.0
8,fordch01w,1.0
8,hugheda99w,1.0
8,jacksla01w,2.0
8,mccarja01w,1.0
8,pierspl01w,1.0
8,pondeca01w,1.0
8,pricear01w,1.0
9,hoffmeb01w,1.0
9,johnsvi01w,1.0
9,leslili01w,1.0
9,parkeca01w,2.0
9,smithka01w,1.0
9,thibami99w,1.0
9,wiggica01w,1.0
10,bonnede01w,1.0
10,cashsw01w,1.0
10,catchta01w,1.0
10,langhcr01w,1.0
10,lawsoka01w,1.0
10,mccouan01w,1.0
10,meadoma99w,1.0
10,tauradi01w,2.0
