year,tmID,total_wins,total_losses
1,CLE,0.0,0.0
1,HOU,0.0,0.0
1,LAS,0.0,0.0
1,NYL,0.0,0.0
2,CHA,0.0,0.0
2,LAS,2.0,0.0
2,NYL,4.0,0.0
2,SAC,0.0,0.0
3,LAS,4.0,0.0
3,NYL,3.0,0.5
3,UTA,0.0,0.0
3,WAS,0.0,0.0
4,CON,0.0,0.0
4,DET,0.0,0.0
4,LAS,6.0,0.0
4,SAC,2.0,1.0
5,CON,2.0,0.0
5,NYL,4.0,0.0
5,SAC,2.0,1.0
5,SEA,0.0,0.0
6,CON,3.0,0.5
6,HOU,0.0,1.0
6,IND,0.0,0.0
6,SAC,2.0,1.0
7,CON,4.0,1.0
7,DET,0.0,0.5
7,LAS,0.0,0.5
7,SAC,4.5,0.5
8,DET,3.5,0.0
8,IND,1.0,0.0
8,PHO,0.0,0.0
8,SAS,0.0,0.0
9,DET,5.5,1.0
9,LAS,2.0,0.0
9,NYL,0.0,1.0
9,SAS,2.0,0.0
10,DET,5.5,1.0
10,IND,1.0,1.0
10,LAS,2.0,1.0
10,PHO,7.0,0.0
1,ORL,0.0,0.0
1,PHO,0.0,0.0
1,SAC,0.0,0.0
1,WAS,0.0,0.0
2,CLE,2.0,1.0
2,HOU,6.0,0.0
2,MIA,0.0,0.0
2,UTA,0.0,0.0
3,CHA,4.0,0.0
3,HOU,3.0,0.0
3,IND,0.0,0.0
3,SEA,0.0,0.0
4,CHA,2.0,0.0
4,CLE,0.0,1.0
4,HOU,0.0,0.5
4,MIN,0.0,0.0
5,DET,6.0,0.0
5,LAS,5.0,0.5
5,MIN,0.0,1.0
5,WAS,2.0,1.0
6,DET,3.0,0.5
6,LAS,2.0,1.0
6,NYL,2.0,0.0
6,SEA,6.0,0.0
7,HOU,2.0,0.0
7,IND,2.0,0.0
7,SEA,3.0,0.5
7,WAS,0.0,1.0
8,CON,3.0,1.0
8,NYL,0.0,0.0
8,SAC,5.5,1.0
8,SEA,0.0,1.0
9,CON,1.0,1.0
9,IND,1.0,0.5
9,SAC,2.0,1.5
9,SEA,0.0,0.5
10,ATL,0.0,0.0
10,SAS,3.0,0.0
10,SEA,0.0,0.5
10,WAS,0.0,0.0
